시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
원운마을회관,마을회관및경로당,전라북도 진안군 백운면 원운 2길 11,전라북도 진안군 백운면 운교리 744-1,35.7080712,127.3954426,영업,,1986-01-09,33,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
봉곡마을회관,마을회관및경로당,전라북도 진안군 동향면 봉곡길 15,전라북도 진안군 동향면 학선리 268-1,35.84331229,127.6129182,영업,,2009-04-27,198,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
대야마을회관,마을회관및경로당,전라북도 진안군 동향면 대야길 56,전라북도 진안군 동향면 자산리 613-1,35.83227058,127.5616191,영업,,2008-10-21,158,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상노마을회관,마을회관및경로당,전라북도 진안군 동향면 자산길 279-4,전라북도 진안군 동향면 자산리 38,35.8720255,127.5726623,영업,,2004-02-02,116,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상능길마을회관,마을회관및경로당,전라북도 진안군 동향면 능금로 218,전라북도 진안군 동향면 능금리 448-3,35.86062423,127.5935623,영업,,2009-09-24,84,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상향마을회관,마을회관및경로당,전라북도 진안군 동향면 상향길 4,전라북도 진안군 동향면 성산리 455-2,35.81475332,127.5525953,영업,,2006-05-01,180,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
장전마을회관,마을회관및경로당,전라북도 진안군 동향면 장전길 16,전라북도 진안군 동향면 성산리 924-3,35.81844732,127.5262538,영업,,2005-01-15,100,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
중노마을회관,마을회관및경로당,전라북도 진안군 동향면 자노로 87,전라북도 진안군 동향면 자산리 241-1,35.8616757,127.5585087,영업,,2006-11-29,87,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
하향마을회관,마을회관및경로당,전라북도 진안군 동향면 하향길 18,전라북도 진안군 동향면 성산리 75-1,35.82478336,127.5522505,영업,,1984-06-14,53,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
내유곡마을회관,마을회관및경로당,전라북도 진안군 동향면 내유길 30,전라북도 진안군 동향면 신송리 1162-3,35.81897506,127.5698671,영업,,2002-12-26,90,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
새울마을회관,마을회관및경로당,전라북도 진안군 동향면 새울길 7,전라북도 진안군 동향면 학선리 693-1,35.85639681,127.6056209,영업,,1998-08-07,83,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
양지경로당,마을회관및경로당,전라북도 진안군 동향면 양지길 29,전라북도 진안군 동향면 대량리 649-5,35.83958013,127.5679086,영업,,2017-12-08,130,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
양지경모정,경로당,전라북도 진안군 동향면 하양지2길 14,전라북도 진안군 동향면 대량리 706-1,35.84082443,127.5686981,영업,,2004-11-11,99,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
창촌마을회관,마을회관및경로당,전라북도 진안군 동향면 창촌길 56,전라북도 진안군 동향면 대량리 179-1,35.83463075,127.5723185,영업,,2016-12-28,156,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
용암마을회관,마을회관및경로당,전라북도 진안군 동향면 용암2길 7,전라북도 진안군 동향면 자산리 977-5,35.83219404,127.5538167,영업,,1999-12-22,161,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
내금마을회관,마을회관및경로당,전라북도 진안군 동향면 내금1길 36,전라북도 진안군 동향면 능금리 898,35.84306239,127.5882275,영업,,2006-01-10,90,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
